,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,HW372_00895,HW372_00895,100.0,75,0,0,1,75,1,75,3.12e-53,157.0,75,1.0,<=>
1,HW372_04015,HW372_04015,100.0,51,0,0,1,51,1,51,1.46e-33,105.0,51,1.0,<=>
2,HW372_12270,HW372_12270,100.0,58,0,0,1,58,1,58,1.57e-39,121.0,58,1.0,<=>
3,HW372_18255,HW372_18255,100.0,45,0,0,1,45,1,45,1.75e-28,92.4,45,1.0,<=>
4,HW372_18600,HW372_18600,100.0,71,0,0,1,71,1,71,3.33e-51,151.0,71,1.0,<=>
5,HW372_20625,HW372_20625,100.0,52,0,0,1,52,1,52,1.38e-32,103.0,52,1.0,<=>
6,HW372_00005,HW372_00005,100.0,467,0,0,1,467,1,467,0.0,968.0,467,1.0,<=>
7,HW372_00010,HW372_00010,100.0,366,0,0,1,366,1,366,0.0,753.0,366,1.0,<=>
8,HW372_00015,HW372_00015,100.0,357,0,0,1,357,1,357,0.0,736.0,357,1.0,<=>
9,HW372_00020,HW372_00020,100.0,804,0,0,1,804,1,804,0.0,1666.0,804,1.0,<=>
10,HW372_00025,HW372_00025,100.0,135,0,0,1,135,1,135,1.57e-93,263.0,135,1.0,<=>
11,HW372_00030,HW372_00030,100.0,270,0,0,1,270,1,270,0.0,555.0,270,1.0,<=>
12,HW372_00035,HW372_00035,100.0,218,0,0,1,218,1,218,1.7300000000000002e-166,454.0,218,1.0,<=>
13,HW372_00040,HW372_00040,100.0,229,0,0,1,229,1,229,2.2600000000000002e-173,473.0,229,1.0,<=>
14,HW372_00045,HW372_00045,100.0,292,0,0,1,292,1,292,0.0,602.0,292,1.0,<=>
15,HW372_00050,HW372_00050,100.0,205,0,0,1,205,1,205,2.0899999999999998e-150,412.0,205,1.0,<=>
16,HW372_00055,HW372_00055,100.0,382,0,0,1,382,1,382,0.0,786.0,382,1.0,<=>
17,HW372_00060,HW372_00060,100.0,445,0,0,1,445,1,445,0.0,893.0,445,1.0,<=>
18,HW372_00065,HW372_00065,100.0,366,0,0,1,366,1,366,0.0,764.0,366,1.0,<=>
19,HW372_00075,HW372_00075,100.0,110,0,0,1,110,1,110,2.5100000000000002e-80,228.0,110,1.0,<=>
20,HW372_00080,HW372_00080,100.0,137,0,0,1,137,1,137,1.8e-99,278.0,137,1.0,<=>
21,HW372_00085,HW372_00085,100.0,142,0,0,1,142,1,142,5.05e-105,293.0,142,1.0,<=>
22,HW372_00090,HW372_00090,100.0,553,0,0,1,553,1,553,0.0,1093.0,553,1.0,<=>
23,HW372_00095,HW372_00095,100.0,288,0,0,1,288,1,288,0.0,605.0,288,1.0,<=>
24,HW372_00100,HW372_00100,100.0,571,0,0,1,571,1,571,0.0,1144.0,571,1.0,<=>
25,HW372_00105,HW372_00105,100.0,497,0,0,1,497,1,497,0.0,1045.0,497,1.0,<=>
26,HW372_00110,HW372_00110,100.0,115,0,0,1,115,1,115,5.7e-80,227.0,115,1.0,<=>
27,HW372_00115,HW372_00115,100.0,120,0,0,1,120,1,120,3.4900000000000004e-86,243.0,120,1.0,<=>
28,HW372_00120,HW372_00120,100.0,165,0,0,1,165,1,165,2.3199999999999997e-126,348.0,165,1.0,<=>
29,HW372_00125,HW372_00125,100.0,394,0,0,1,394,1,394,0.0,777.0,394,1.0,<=>
30,HW372_00130,HW372_00130,100.0,32,0,0,1,32,1,32,3.31e-16,60.5,32,1.0,<=>
31,HW372_00135,HW372_00135,100.0,562,0,0,1,562,1,562,0.0,1155.0,562,1.0,<=>
32,HW372_00140,HW372_00140,100.0,96,0,0,1,96,1,96,1.28e-69,199.0,96,1.0,<=>
33,HW372_00145,HW372_00145,100.0,286,0,0,1,286,1,286,0.0,594.0,286,1.0,<=>
34,HW372_00150,HW372_00150,100.0,196,0,0,1,196,1,196,2.6400000000000004e-144,396.0,196,1.0,<=>
35,HW372_00155,HW372_00155,100.0,500,0,0,1,500,1,500,0.0,995.0,500,1.0,<=>
36,HW372_00165,HW372_00165,100.0,463,0,0,1,463,1,463,0.0,933.0,463,1.0,<=>
37,HW372_00170,HW372_00170,100.0,588,0,0,1,588,1,588,0.0,1212.0,588,1.0,<=>
38,HW372_00175,HW372_00175,100.0,444,0,0,1,444,1,444,0.0,875.0,444,1.0,<=>
39,HW372_00180,HW372_00180,100.0,150,0,0,1,150,1,150,4.14e-110,306.0,150,1.0,<=>
40,HW372_00185,HW372_00185,100.0,396,0,0,1,396,1,396,0.0,776.0,396,1.0,<=>
41,HW372_00190,HW372_00190,100.0,97,0,0,1,97,1,97,2.48e-70,201.0,97,1.0,<=>
42,HW372_00195,HW372_00195,100.0,272,0,0,1,272,1,272,0.0,554.0,272,1.0,<=>
43,HW372_00200,HW372_00200,100.0,307,0,0,1,307,1,307,0.0,603.0,307,1.0,<=>
44,HW372_00205,HW372_00205,100.0,165,0,0,1,165,1,165,1.32e-122,339.0,165,1.0,<=>
45,HW372_00210,HW372_00210,100.0,128,0,0,1,128,1,128,5.6e-95,266.0,128,1.0,<=>
46,HW372_00215,HW372_00215,100.0,243,0,0,1,243,1,243,0.0,508.0,243,1.0,<=>
