,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,mobA,HW372_24000,100.0,107,0,0,1,107,1,107,1.4199999999999999e-74,213.0,107,1.0,<=>
1,etpC,HW372_03890,25.778,225,141,5,82,288,102,318,3.26e-18,80.1,291,0.7731958762886598,<=>
2,etpD,HW372_02065,56.284,549,228,5,2,541,70,615,0.0,612.0,585,0.9384615384615385,<=>
3,etpE,HW372_03900,57.661,496,205,3,1,493,1,494,0.0,550.0,501,0.9900199600798403,<=>
4,etpF,HW372_03905,55.774,407,180,0,1,407,1,407,6.44e-146,417.0,407,1.0,<=>
5,etpG,HW372_03910,66.197,142,44,2,2,139,6,147,1.64e-63,188.0,144,0.9861111111111112,<=>
6,etpH,HW372_02045,28.659,164,87,5,3,160,4,143,5.16e-16,69.3,184,0.8913043478260869,<=>
7,etpI,HW372_02040,35.616,73,39,1,1,73,7,71,4.01e-09,48.1,115,0.6347826086956522,<=>
8,etpJ,HW372_03925,37.5,192,115,2,6,193,5,195,6.15e-36,122.0,199,0.964824120603015,<=>
9,etpK,HW372_03930,36.364,253,154,4,71,318,72,322,7.339999999999999e-42,145.0,325,0.7784615384615384,<=>
10,etpL,HW372_02025,23.671,207,141,5,1,199,117,314,3.84e-08,50.8,282,0.7340425531914894,<=>
11,etpM,HW372_03940,28.758,153,104,3,4,155,25,173,3.95e-16,69.3,170,0.9,<=>
12,etpN,HW372_03880,37.931,232,138,2,8,238,40,266,1.1399999999999998e-42,142.0,238,0.9747899159663865,<=>
13,IS911,HW372_23715,93.407,91,6,0,13,103,1,91,1.58e-56,176.0,113,0.8053097345132744,
14,BAA31772.3,HW372_23715,89.434,265,28,0,1,265,117,381,0.0,514.0,273,0.9706959706959707,<=>
15,hlyB,HW372_15410,34.182,550,330,13,175,705,43,579,3.36e-85,277.0,706,0.7790368271954674,
16,hlyD,HW372_18420,21.064,451,285,13,44,479,21,415,1.07e-19,88.2,479,0.941544885177453,
17,papX,HW372_04385,48.75,80,41,0,1,80,75,154,3.33e-21,79.7,94,0.851063829787234,
18,BAA31778.1,HW372_04785,26.347,167,93,7,61,215,134,282,6.99e-07,46.2,246,0.6788617886178862,
19,letA,HW372_19730,30.0,70,49,0,3,72,8,77,3.74e-08,42.7,72,0.9722222222222222,
20,letB,HW372_19725,35.577,104,64,3,1,101,1,104,1.89e-13,58.2,101,1.0297029702970297,
21,BAA31786.1,HW372_04785,26.699,206,106,8,48,240,109,282,6.51e-10,55.5,268,0.7686567164179104,
22,IS629,HW372_23715,26.736,288,203,3,4,289,101,382,1.5e-28,110.0,296,0.972972972972973,
23,BAA31795.1,HW372_02380,29.752,242,128,9,4,205,17,256,1.03e-19,82.8,227,1.066079295154185,
24,ssb,HW372_21950,55.978,184,41,4,1,150,1,178,1.53e-62,187.0,150,1.2266666666666666,
25,parB,HW372_19895,40.909,44,26,0,7,50,25,68,3.58e-10,47.0,52,0.8461538461538461,
26,IS3,HW372_23715,46.512,43,23,0,40,82,201,243,2.92e-07,44.7,119,0.36134453781512604,
27,IS21,HW372_09070,35.052,97,54,3,1,88,1,97,4.71e-07,44.7,136,0.7132352941176471,<=>
28,IS629,HW372_09075,52.542,59,27,1,87,144,186,244,2.51e-16,71.2,167,0.3532934131736527,<=>
29,BAA31820.1,HW372_12640,23.273,275,198,5,24,286,33,306,5.38e-18,79.3,286,0.9615384615384616,
30,IS600,HW372_23715,37.853,177,110,0,77,253,202,378,1.93e-36,130.0,258,0.686046511627907,
31,katP,HW372_22660,56.534,704,289,9,33,733,36,725,0.0,753.0,736,0.9565217391304348,
32,IS629,HW372_23715,26.389,288,204,3,3,288,101,382,2.65e-29,112.0,295,0.976271186440678,
33,espP,HW372_04285,56.25,1312,545,14,1,1300,1,1295,0.0,1391.0,1300,1.0092307692307692,<=>
34,BAA31838.1,HW372_08765,28.0,175,112,4,188,350,225,397,1.65e-12,65.1,368,0.47554347826086957,
35,BAA31839.1,HW372_22600,81.643,572,105,0,1,572,1,572,0.0,990.0,573,0.9982547993019197,
36,BAA31840.1,HW372_10435,66.561,314,104,1,20,332,1,314,4.04e-160,447.0,332,0.9457831325301205,
