,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,HW372_12270,ECD_01411,93.103,58,4,0,1,58,1,58,7e-36,116.0,58,1.0,
1,HW372_18255,ECD_01344,78.125,32,7,0,9,40,65,96,1.29e-11,50.8,45,0.7111111111111111,
2,HW372_20625,ECD_03540,52.0,50,23,1,3,52,1,49,2.75e-11,52.8,52,0.9615384615384616,
3,HW372_00005,ECD_03585,100.0,467,0,0,1,467,1,467,0.0,968.0,467,1.0,<=>
4,HW372_00010,ECD_03584,100.0,366,0,0,1,366,1,366,0.0,753.0,366,1.0,<=>
5,HW372_00015,ECD_03583,100.0,357,0,0,1,357,1,357,0.0,736.0,357,1.0,<=>
6,HW372_00020,ECD_03582,99.876,804,1,0,1,804,1,804,0.0,1665.0,804,1.0,<=>
7,HW372_00025,ECD_03581,97.727,132,3,0,4,135,1,132,1.57e-88,250.0,135,0.9777777777777777,<=>
8,HW372_00030,ECD_03580,100.0,270,0,0,1,270,1,270,0.0,555.0,270,1.0,<=>
9,HW372_00035,ECD_03579,61.033,213,82,1,1,212,1,213,1.4499999999999998e-95,275.0,218,0.9770642201834863,<=>
10,HW372_00040,ECD_03578,100.0,229,0,0,1,229,1,229,2.04e-173,473.0,229,1.0,<=>
11,HW372_00045,ECD_03577,98.288,292,5,0,1,292,1,292,0.0,595.0,292,1.0,<=>
12,HW372_00050,ECD_03576,99.512,205,1,0,1,205,1,205,1.63e-149,410.0,205,1.0,<=>
13,HW372_00055,ECD_03575,99.738,382,1,0,1,382,1,382,0.0,784.0,382,1.0,<=>
14,HW372_00060,ECD_03574,99.767,430,1,0,16,445,1,430,0.0,860.0,445,0.9662921348314607,<=>
15,HW372_00065,ECD_03573,97.74,354,8,0,1,354,1,354,0.0,723.0,366,0.9672131147540983,<=>
16,HW372_00075,ECD_03571,98.182,110,2,0,1,110,1,110,1.3000000000000001e-79,226.0,110,1.0,<=>
