query_gene_id	subject_gene_id	percent_identity	alignment_length	forward_bitscore	forward_evalue
BW25113_RS00010	b0002	100.000	2460	4543.00	0.00e+00
BW25113_RS00015	b0003	100.000	930	1718.00	0.00e+00
BW25113_RS00020	b0004	100.000	1284	2372.00	0.00e+00
BW25113_RS00030	b0005	100.000	294	544.00	1.82e-155
BW25113_RS00035	b0006	100.000	774	1430.00	0.00e+00
BW25113_RS00040	b0007	100.000	1428	2638.00	0.00e+00
BW25113_RS00045	b0008	100.000	951	1757.00	0.00e+00
BW25113_RS00050	b0009	100.000	585	1081.00	0.00e+00
BW25113_RS00055	b0010	100.000	564	1042.00	0.00e+00
BW25113_RS00060	b0011	100.000	711	1314.00	0.00e+00
BW25113_RS00065	b0013	100.000	402	743.00	0.00e+00
BW25113_RS00070	b0014	100.000	1914	3535.00	0.00e+00
BW25113_RS00075	b0015	100.000	1128	2084.00	0.00e+00
BW25113_RS00085	b4412	100.000	150	278.00	9.69e-76
BW25113_RS00090	b0019	100.000	1164	2150.00	0.00e+00
BW25113_RS00095	b0020	100.000	897	1657.00	0.00e+00
BW25113_RS00110	b0023	100.000	261	483.00	3.53e-137
BW25113_RS00115	b0024	100.000	216	399.00	2.97e-112
BW25113_RS00120	b0025	100.000	939	1735.00	0.00e+00
BW25113_RS00125	b0026	100.000	2814	5197.00	0.00e+00
BW25113_RS00130	b0027	100.000	492	909.00	0.00e+00
BW25113_RS00135	b0028	100.000	447	826.00	0.00e+00
BW25113_RS00140	b0029	100.000	948	1751.00	0.00e+00
BW25113_RS00145	b0030	100.000	912	1685.00	0.00e+00
BW25113_RS00150	b0031	100.000	819	1513.00	0.00e+00
BW25113_RS00165	b0032	100.000	1146	2117.00	0.00e+00
BW25113_RS00170	b0033	100.000	3219	5945.00	0.00e+00
BW25113_RS00180	b0034	100.000	393	726.00	0.00e+00
BW25113_RS00185	b0035	100.000	588	1086.00	0.00e+00
BW25113_RS00190	b0036	100.000	783	1447.00	0.00e+00
BW25113_RS00195	b0037	100.000	1551	2865.00	0.00e+00
BW25113_RS00200	b0038	100.000	1215	2244.00	0.00e+00
BW25113_RS00205	b0039	100.000	1140	2106.00	0.00e+00
BW25113_RS00210	b0040	100.000	1512	2793.00	0.00e+00
BW25113_RS00215	b0041	100.000	768	1419.00	0.00e+00
BW25113_RS00220	b0042	100.000	939	1735.00	0.00e+00
BW25113_RS00225	b0043	100.000	1284	2372.00	0.00e+00
BW25113_RS00230	b0044	100.000	285	527.00	1.77e-150
BW25113_RS00235	b0045	100.000	1329	2455.00	0.00e+00
BW25113_RS00240	b0046	100.000	528	976.00	0.00e+00
BW25113_RS00245	b0047	100.000	1860	3435.00	0.00e+00
BW25113_RS00250	b0048	100.000	477	881.00	0.00e+00
BW25113_RS00255	b0049	100.000	840	1552.00	0.00e+00
BW25113_RS00260	b0050	100.000	375	693.00	0.00e+00
BW25113_RS00265	b0051	100.000	819	1513.00	0.00e+00
BW25113_RS00270	b0052	100.000	987	1823.00	0.00e+00
BW25113_RS00275	b0053	100.000	1284	2372.00	0.00e+00
BW25113_RS00280	b0054	100.000	2352	4344.00	0.00e+00
BW25113_RS00285	b0055	100.000	813	1502.00	0.00e+00
BW25113_RS00290	b0056	100.000	648	1197.00	0.00e+00
BW25113_RS25860	b0057	100.000	156	289.00	4.68e-79
BW25113_RS00295	b0058	100.000	657	1214.00	0.00e+00
BW25113_RS00300	b0059	100.000	2904	5363.00	0.00e+00
BW25113_RS00305	b0060	100.000	2349	4338.00	0.00e+00
BW25113_RS00310	b0061	99.852	675	1242.00	0.00e+00
BW25113_RS00315	b0064	100.000	876	1618.00	0.00e+00
BW25113_RS00320	b0065	100.000	762	1408.00	0.00e+00
BW25113_RS00325	b0066	100.000	696	1286.00	0.00e+00
BW25113_RS00330	b0067	100.000	1608	2970.00	0.00e+00
BW25113_RS00335	b0068	100.000	981	1812.00	0.00e+00
BW25113_RS00340	b0069	100.000	1653	3053.00	0.00e+00
BW25113_RS00345	b4662	100.000	129	239.00	3.83e-64
BW25113_RS00350	b0070	100.000	1176	2172.00	0.00e+00
BW25113_RS00355	b0071	100.000	603	1114.00	0.00e+00
BW25113_RS00360	b0072	100.000	1398	2582.00	0.00e+00
BW25113_RS00365	b0073	100.000	1089	2012.00	0.00e+00
BW25113_RS00370	b0074	100.000	1569	2898.00	0.00e+00
BW25113_RS00375	b0075	100.000	84	156.00	2.37e-39
BW25113_RS00380	b0076	100.000	942	1740.00	0.00e+00
BW25113_RS25405	b4726	100.000	42	78.70	1.95e-16
BW25113_RS00385	b0077	100.000	1722	3181.00	0.00e+00
BW25113_RS00390	b0078	100.000	489	904.00	0.00e+00
BW25113_RS00400	b0080	100.000	1002	1851.00	0.00e+00
BW25113_RS00405	b0081	100.000	456	843.00	0.00e+00
BW25113_RS00410	b0082	100.000	939	1735.00	0.00e+00
BW25113_RS00415	b0083	100.000	363	671.00	0.00e+00
BW25113_RS00420	b0084	100.000	1764	3258.00	0.00e+00
BW25113_RS00425	b0085	100.000	1485	2743.00	0.00e+00
BW25113_RS00430	b0086	100.000	1356	2505.00	0.00e+00
BW25113_RS00435	b0087	100.000	1080	1995.00	0.00e+00
BW25113_RS00440	b0088	100.000	1314	2427.00	0.00e+00
BW25113_RS00445	b0089	100.000	1242	2294.00	0.00e+00
BW25113_RS00450	b0090	100.000	1065	1967.00	0.00e+00
BW25113_RS00455	b0091	100.000	1473	2721.00	0.00e+00
