BL21,Nissle_1917,O157_H7
ECD_00001,HW372_19965,
ECD_00002,HW372_19960,ECs_0002
ECD_00003,HW372_19955,ECs_0003
ECD_00004,HW372_19950,ECs_0004
ECD_00005,HW372_19945,ECs_0005
ECD_00006,HW372_19940,ECs_0006
ECD_00007,HW372_19935,ECs_0007
ECD_00008,HW372_19930,ECs_0008
ECD_00009,HW372_19925,ECs_0009
ECD_00010,HW372_19920,ECs_0010
ECD_00011,HW372_19915,ECs_0012
ECD_00012,,
ECD_00013,HW372_19910,ECs_0013
ECD_00014,HW372_19905,ECs_0014
ECD_00015,HW372_19900,ECs_0015
ECD_00016,,
ECD_00017,HW372_19895,ECs_0016
ECD_00018,HW372_19875,ECs_0017
ECD_00019,HW372_19870,ECs_0018
ECD_00020,,
ECD_00021,HW372_08440,ECs_0022
ECD_00022,,ECs_0025
ECD_00023,,
ECD_00024,,
ECD_00025,,
ECD_00026,,
ECD_00027,HW372_19865,ECs_0026
ECD_00028,HW372_19860,
ECD_00029,HW372_19855,ECs_0028
ECD_00030,HW372_19850,ECs_0029
ECD_00031,HW372_19845,ECs_0030
ECD_00032,HW372_19840,ECs_0031
ECD_00033,HW372_19835,ECs_0032
ECD_00034,HW372_19830,ECs_0033
ECD_00035,HW372_19820,ECs_0034
ECD_00036,HW372_19815,ECs_0035
ECD_00037,HW372_19810,ECs_0036
ECD_00038,HW372_19805,ECs_0037
ECD_00039,HW372_19800,ECs_0038
ECD_00040,HW372_19795,ECs_0039
ECD_00041,HW372_19790,ECs_0040
ECD_00043,HW372_19780,ECs_0042
ECD_00044,HW372_19775,ECs_0043
ECD_00045,HW372_19770,ECs_0044
ECD_00046,HW372_19765,ECs_0045
ECD_00047,HW372_19760,ECs_0046
ECD_00048,HW372_19755,ECs_0047
ECD_00049,HW372_19750,ECs_0048
ECD_00050,HW372_19745,ECs_0049
ECD_00051,HW372_19740,ECs_0050
ECD_00052,HW372_19735,ECs_0051
ECD_00053,HW372_19720,ECs_0054
ECD_00054,HW372_19715,ECs_0055
